kegg,smiles,mass,formula,pubchem,chebi
C00258,C([C@H](C(=O)O)O)O,106.0266,C3H6O4,439194,CHEBI:32398
C00262,C1=NC2=C(N1)C(=O)N=CN2,136.0385,C5H4N4O,790,CHEBI:17368
C00263,C(CO)[C@@H](C(=O)O)N,119.0582,C4H9NO3,12647,CHEBI:15699
C00265,C([C@@H]([C@H](CS)O)O)S,154.0122,C4H10O2S2,439196,NA
C00270,CC(=O)N[C@@H]1[C@H](CC(O[C@H]1[C@@H]([C@@H](CO)O)O)(C(=O)O)O)O,309.106,C11H19NO9,439197,CHEBI:17012
C00272,C[C@@H]([C@@H]([C@H]1CNC2=C(N1)C(=O)N=C(N2)N)O)O,241.1175,C9H15N5O3,44257,CHEBI:59560
C00275,C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)OP(=O)(O)O,260.0297,C6H13O9P,65127,CHEBI:48066
C00279,C([C@H]([C@H](C=O)O)O)OP(=O)(O)O,200.0086,C4H9O7P,122357,CHEBI:48153
C00280,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C,286.1933,C19H26O2,6128,CHEBI:16422
C00284,C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,292.0907,C10H16N2O8,5232305,NA
C00294,C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,268.0808,C10H12N4O5,6021,CHEBI:17596
C00295,C1=C(NC(=O)NC1=O)C(=O)O,156.0171,C5H4N2O4,967,CHEBI:16742
C00299,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,244.0695,C9H12N2O6,6029,CHEBI:16704
C00300,CN(CC(=O)O)C(=N)N,131.0695,C4H9N3O2,586,CHEBI:16919
C00301,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)O)O)O)O)O,559.0717,C15H23N5O14P2,445794,NA
C00307,C[N+](C)(C)CCOP(=O)([O-])OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=CC(=NC2=O)N)O)O,488.1073,C14H26N4O11P2,11583971,CHEBI:16436
C00308,C(CON=C(N)N)[C@@H](C(=O)O)N,176.0909,C5H12N4O3,439202,CHEBI:405237
C00311,C(C(C(C(=O)O)O)C(=O)O)C(=O)O,192.027,C6H8O7,1198,CHEBI:30887
C00314,CC1=NC=C(C(=C1O)CO)CO,169.0739,C8H11NO3,1054,CHEBI:16709
C00315,C(CCNCCCN)CN,145.1579,C7H19N3,1102,CHEBI:16610
C00318,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,161.1052,C7H15NO3,10917,CHEBI:16347
C00319,CCCCCCCCCCCCC/C=C/[C@H]([C@H](CO)N)O,299.2824,C18H37NO2,5280335,CHEBI:16393
