kegg1,kegg2,smiles1,smiles2,mass1,mass2,formula1,formula2
C00780,C05647,C1=CC2=C(C=C1O)C(=CN2)CCN,C1=CC(=C(C=C1O)C(=O)CCN)NC=O,176.095,208.0848,C10H12N2O,C10H12N2O3
C00025,C00328,C(CC(=O)O)[C@@H](C(=O)O)N,C1=CC=C(C(=C1)C(=O)C[C@@H](C(=O)O)N)N,147.0532,208.0848,C5H9NO4,C10H12N2O3
C00108,C00328,C1=CC=C(C(=C1)C(=O)O)N,C1=CC=C(C(=C1)C(=O)C[C@@H](C(=O)O)N)N,137.0477,208.0848,C7H7NO2,C10H12N2O3
C00328,C03227,C1=CC=C(C(=C1)C(=O)C[C@@H](C(=O)O)N)N,C1=CC(=C(C(=C1)O)N)C(=O)C[C@@H](C(=O)O)N,208.0848,224.0797,C10H12N2O3,C10H12N2O4
C05648,C05651,C1=CC(=C(C=C1O)C(=O)C[C@@H](C(=O)O)N)NC=O,C1=CC(=C(C=C1O)C(=O)C[C@@H](C(=O)O)N)N,252.0746,224.0797,C11H12N2O5,C10H12N2O4
C00025,C03227,C(CC(=O)O)[C@@H](C(=O)O)N,C1=CC(=C(C(=C1)O)N)C(=O)C[C@@H](C(=O)O)N,147.0532,224.0797,C5H9NO4,C10H12N2O4
C00632,C03227,C1=CC(=C(C(=C1)O)N)C(=O)O,C1=CC(=C(C(=C1)O)N)C(=O)C[C@@H](C(=O)O)N,153.0426,224.0797,C7H7NO3,C10H12N2O4
C05638,C05651,C1=CC(=C(C=C1O)C(=O)CCN)N,C1=CC(=C(C=C1O)C(=O)C[C@@H](C(=O)O)N)N,180.0899,224.0797,C9H12N2O2,C10H12N2O4
C00672,C20463,C1[C@@H]([C@H](O[C@@H]1OP(=O)(O)O)CO)O,C1[C@@H]([C@H](O[C@H]1N2C=NC3=CN=CN=C32)CO)O,214.0242,236.0909,C5H11O7P,C10H12N4O3
C15587,C20463,C1=C2C(=NC=N1)N=CN2,C1[C@@H]([C@H](O[C@H]1N2C=NC3=CN=CN=C32)CO)O,120.0436,236.0909,C5H4N4,C10H12N4O3
C05325,C15586,C1=C2C(=NC=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O,C1=C2C(=NC=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,332.0522,252.0859,C10H13N4O7P,C10H12N4O4
C00559,C05512,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=CN=C3N)CO)O,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC=NC3=O)CO)O,251.1018,252.0859,C10H13N5O3,C10H12N4O4
